Howtext,이름,Function,Company,Shape,Howword,Except,Companyinfo
"1일 1회, 1회 1포(50ml)를 섭취한다.",한삼인 홍삼88, 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음,풍기진생영농조합법인,액상,,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취
알레르기 등 특이체질의 경우에는 원료 성분을 확인하신 후 섭취하시오.",
"1,200 mg 정제를 1일 1회, 1회 1정씩 씹어서 섭취",베이비락 튼튼 종합비타민 미네랄,"[비타민A] 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요

[비타민B2] 1. 체내 에너지 생성에 필요

[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요

[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요 3. 골다공증발생 위험 감소에 도움을 줌

[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요

[판토텐산] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요",동서바이오팜(주),알약,,특정성분에 민감한 체질이신 분은 성분을 확인 후 섭취,
"1일 1회, 1회 1정씩 물과함께 섭취",우먼멀티비타민앤미네랄,"[비타민C] 1. 결합조직 형성과 기능유지에 필요 2. 철의 흡수에 필요 3. 유해산소로부터 세포를 보호하는데 필요

[비타민B1] 1. 탄수화물과 에너지 대사에 필요

[비타민B2] 1. 체내 에너지 생성에 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B12] 1. 정상적인 엽산 대사에 필요

[비타민A] 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요

[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요

[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요

[나이아신] 1. 체내 에너지 생성에 필요

[판토텐산] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[엽산] 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비오틴] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[구리] 1. 철의 운반과 이용에 필요 2. 유해산소로부터 세포를 보호하는데 필요

[망간] 1. 뼈 형성에 필요 2. 에너지 이용에 필요 3. 유해산소로부터 세포를 보호하는데 필요

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

[철] 1. 체내 산소운반과 혈액생성에 필요 2. 에너지 생성에 필요",네이처퓨어코리아(주),알약,,"[철]특히 6세 이하는 과량섭취하지 않도록 주의

 1.  과량섭취시 부작용이 있을 수 있음. 특히 6세 이하는 과량섭취하지 않도록 주의

 2.  특정원료에 알레르기가 있거나 질병치료 약물투여중인 분은 섭취전 전문가와 상의하십시오.",
"1일 1회, 1회 1정을 씹어서 섭취하십시오.",멀티비타민&미네랄포맨,"[비타민A] 1. 어두운 곳에서 시각 적응을 위해 필요 2. 피부와 점막을 형성하고 기능을 유지하는데 필요 3. 상피세포의 성장과 발달에 필요

[비타민B1] 1. 탄수화물과 에너지 대사에 필요

[비타민B2] 1. 체내 에너지 생성에 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[나이아신] 1. 체내 에너지 생성에 필요

[비오틴] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

[엽산] 1. 세포와 혈액생성에 필요 2. 태아 신경관의 정상 발달에 필요 3. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[판토텐산] 1. 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",(주)한국씨엔에스팜,알약,," 1.  어린이의 경우 섭취 시 목에 걸릴 우려가 있으니 보호자의 지도하에 섭취하십시오.

 2.  특이체질, 알러지 체질의 경우 성분을 확인하시고 섭취하여 주시기 바랍니다.",
"1일 2회, 1회 1정을 물과 함께 섭취하십시오.",유한M 에센셜 칼슘 앤 마그네슘,"[칼슘] 1. 뼈와 치아 형성에 필요 2. 신경과 근육 기능 유지에 필요 3. 정상적인 혈액응고에 필요 4. 청년기 이전에 적절한 운동과 건강한 식습관을 유지하면서 충분한 칼슘을 섭취하면 향후 골다공증발생의 위험을 감소시킬 수 있음

[마그네슘] 1. 에너지 이용에 필요 2. 신경과 근육 기능 유지에 필요

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

[비타민D] 1. 칼슘과 인이 흡수되고 이용되는데 필요 2. 뼈의 형성과 유지에 필요",(주)뉴트리바이오텍,알약,,"1) 특이체질, 알레르기 체질인 경우 성분을 확인하시고 섭취하십시오.

2) 유통기한을 확인하시기 바라며, 섭취량 및 섭취방법을 준수하시기 바랍니다.",
"1일 1회, 1회 6g을  충분한 물(미지근한 물)과함께 섭취하세요(1회 300ml 권합니다)",스윗비떵, 1. 배변활동 원활에 도움을 줄 수 있음,(주)아마존허브,분말,,"임산부, 수유부, 특이체질, 알레르기 체질인 경우 개인에 따라 과민반응을 나타낼 수 있으므로 섭취시 주의하십시오.
충분한 물과 함께 섭취하십시오. 
내용물의 손상이나 변형시 에는 섭취하지 마십시오.",
"1일 1회, 1회 1포를 식후에 섭취(섭취 목적에 따라 증감이 가능합니다.)",바이오락토,[프로바이오틱스 제품] 1. 유익한 유산균 증식 2. 유해균 억제 또는 배변활동 원활,(주)한풍네이처팜,분말,,#NAME?,
"1일 2회, 1회 1캡슐(1.52 g)을 충분한 물과 함께 섭취하십시오.",오메가-3," 1. 유해산소로부터 세포를 보호하는데 필요

(EPA 및 DHA 함유 유지) 1. 혈중 중성지질 개선·혈행 개선·기억력 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음",(주)서흥,캡슐,,,
"1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취하십시오.",코엔자임플러스,"[코엔자임Q10제품] 1. 항산화에 도움을 줄 수 있음 2.  높은 혈압 감소에 도움을 줄 수 있음

[셀레늄(또는 셀렌)] 1. 유해산소로부터 세포를 보호하는데 필요",극동에치팜(주),캡슐,,"1.특이체질, 알레르기 체질인 경우 개인에 따라 과민반응을 나타낼 수 있으므로 원료를 확인 후 섭취하십시오.

2.내용물의 손상이나 변형시에는 섭취하지 마십시오.",
"1일 1회, 1회 1정을 물과 함께 섭취.",나토키나제,"[HK 나토배양물]혈액의 흐름을 방해할 수 있는 혈소판응집을 억제하여, 혈액흐름을 원활히 하는데 도움을 줄 수 있음.(기타 II)

[철] 1. 체내 산소운반과 혈액생성에 필요 2. 에너지 생성에 필요

[아연] 1. 정상적인 면역기능에 필요 2. 정상적인 세포분열에 필요

[비타민B6] 1. 단백질 및 아미노산 이용에 필요 2. 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",극동에치팜(주),알약,,"1. 유통기한을 경과된 제품은 섭취하지 마십시오.

2. 알레르기 체질이신 분은 원재료를 확인하신 후 섭취하십시오.

3. 임산부와 수유기 여성은 섭취를 피하는 것이 좋습니다.

4. 과다 섭취 시 혈액응고가 저해되어 출혈위험이 증가될 수 있습니다.

5. 항혈전 관련 약품(항응고제, 항혈소판제제)을 섭취하는 사람은 의사와 상담 후 섭취하여야 합니다.

6. 수술 전과 후에는 섭취를 피해야 합니다.

7. [철] 특히 6세 이하는 과량섭취하지 않도록 주의

8. 제품 개봉시 상처가 발생할 위험이 있으므로 주의하시기 바랍니다.",
"1일 2회, 1회 2포씩 식전에 우유나 물과 함께 섭취하십시오.  

3개월 이상 꾸준히 섭취하시는 것을 권장합니다.",다안단,[프로바이오틱스 제품] 1. 유익한 유산균 증식 2. 유해균 억제 또는 배변활동 원활,(주)세모,분말,,본 제품은 생균으로 만든 제품이므로 섭취시 뜨거운 음료나 탄산음료와 함께 섭취하지 마십시오.,
"1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취.",한미프리미엄복합오메가-3,"[오메가-3지방산함유유지 제품]혈중 중성지질 개선·혈행개선에 도움을 줄 수 있음

[비타민E] 1. 유해산소로부터 세포를 보호하는데 필요",주식회사한미양행,캡슐,,알레르기 체질이신 경우 성분을 확인한 후 섭취하시기 바랍니다.,
"1일 3회, 1회 4정을 음용수와 함께 섭취",알로에센스정,[알로에전잎 제품] 1. 배변활동 원활에 도움을 줄 수 있음,주식회사푸른들,알약,,체질에 따라 또는 과량섭취시 설사할 수 있으므로 주의 하십시오,
"1일 1회, 1회 1병씩(20 mL)씩 섭취할 것.",광동 파워토닉,"[피브로인추출물BF-7]“기억력 개선에 도움을 줄 수 있습니다.”(기타Ⅱ등급)

[비타민B2] 1. 체내 에너지 생성에 필요",광동제약주식회사,액상,,"[피브로인추출물BF-7] 1.  임산부 및 수유여성은 섭취에 주의
특이체질, 알레르기 체질인 경우는 간혹 개인에 따라 과민반응을 나타낼 수 있으므로 원료를 확인 후 섭취할 것. 유통기한이 경과된 제품은 섭취하지 말 것. 개봉 시 다칠 수 있으니 주의
할 것.",
"1일 2회, 1회 1포 적당한 물과 함께 드십시오.",알로에버플러스,"[알로에겔 제품] 1. 피부건강에 도움 2. 장 건강에 도움 3. 면역력 증진

[대두이소플라본 제품]뼈 건강에 도움을 줄 수 있음.",(주)네이처텍,분말,,"[대두이소플라본 제품] 1. 영유아, 어린이, 임산부와 수유여성은 섭취에 주의 2. 대두에 알레르기를 나타내는 사람은 섭취에 주의 3. 에스트로겐 호르몬에 민감한 사람은 섭취에 주의

(1) 임산부, 수유부, 알레르기 체질, 노약자 및 치료를 받고 계신 중증 질환자 등은 구입처 또는 고객지원팀으로 문의 후 섭취하시기 바랍니다.

(2) 어린이에게 섭취시키고자 하실 경우에는 구입처 또는 고객지원팀으로 문의하시고 섭취 시 보호자의 관찰 하에 섭취하도록 하십시오.

(3) 권장섭취량을 확인하신 후 섭취하십시오.

(4) 섭취자의 신체상태에 따라 특이반응이 나타날 수 있습니다. 이 경우 섭취를 중단하신 후 구입처 또는 고객지원팀으로 문의하시기 바랍니다.",
"1일 1회, 1회 2정을 물과 함께 섭취하시오",보이고 싶은 보이차 다이어트,"체지방 감소에 도움을 줄 수 있음, 혈중콜레스테롤 개선에 도움을 줄 수 이음(생리활성기능2등급)",주식회사 노바렉스,알약,,"특정질환, 특이체질, 알레르기체질, 임산부의 경우에는 간혹 개인에 따라 과민반응이 나타날 수 있으므로 원료를 확인하시고, 섭취전에 전문가와 상담하시기 바랍니다",
"1일 2회, 1회 1포를 한잔의 냉수 또는 온수에 넣어 섭취하십시오.",글루코사민플러스,관절 및 연골 건강에 도움을 줄 수 있음,(주)고려인삼한백식품,분말,,"(1) 알레르기 체질이신 경우 성분을 확인 한 후 섭취여부를 결정하여야 함.
(2) 제품 개봉 또는 섭취시 포장재에 의해 상처를 입을 수 있어 주의가 필요함.
(3) 게 또는 새우에 알레르기가 있는 사람은 섭취에 주의(게 또는 새우를 원재료로 사용한 경우에 한함)",
"1일 2회 ,1회 1g을 온수 또는 냉수에 타거나 직접 섭취하십시오. 15세 이하의 어린이는 위 섭취량의 절반 정도를 섭취하십시오.",홍삼정플러스, 1. 면역력 증진에 도움을 줄 수 있음 2. 피로개선에 도움을 줄 수 있음 3. 혈소판 응집 억제를 통한 혈액흐름에 도움을 줄 수 있음 4. 기억력 개선에 도움을 줄 수 있음 5. 항산화에 도움을 줄 수 있음,(주)한국인삼내츄럴,액상,,"의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",
"1일 1회, 1회 1포 섭취하십시오.",유산균플러스,"[프로바이오틱스] 1. 유산균 증식 및 유해균 억제에 도움을 줄 수 있음  2. 배변활동 원활에 도움을 줄 수 있음
[자일로올리고당] 1. 장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음",(주)뉴트리바이오텍,분말,,"1. 알레르기 체질, 노약자 및 치료를 받고 계신 중증 질환자 등은 구입처 및 고객센터로 문의 후 섭취하시기 바랍니다. 
2. 어린이 섭취 시 안전한 섭취를 위해 보호자의 관찰 하에 섭취하도록 하십시오. 
3. 권장섭취량과 유통기한을 확인하신 후 섭취하십시오. 
4. 섭취자의 신체상태에 따라 특이반응이 나타날 수 있습니다. 이 경우 섭취를 중단하신 후 구입처 또는 고객센터로 문의하시기 바랍니다. 
5. 포에 의해 손이나 입이 베이지 않도록 주의하십시오. 
6. 과량으로 섭취 시 설사를 유발할 수도 있습니다.",
"1일 1회, 1회 1캡슐을 충분한 물과 함께 섭취하십시오.",프로바이오틱스,[프로바이오틱스 제품] 1. 유산균 증식 및 유해균 억제에 도움을 줄 수 있음  2. 배변활동 원활에 도움을 줄 수 있음,코스맥스바이오(주),캡슐,,"섭취 시 목에 걸리거나 불편할 수 있으므로 반드시 물과 함께 섭취하십시오. 

섭취 시 위장장애, 소화불량의 증상이 있을 경우 섭취를 중단하십시오. 

개인의 신체 상태에 따라 이상 증상이 생길 경우 섭취를 중단하십시오. 

섭취 전 제품에 이상이 있는 경우 섭취를 금하십시오.

특정 원료 성분에 알레르기 체질은 원료 성분을 확인 후 섭취하십시오.",
